1,0,7,:
Имя,ASUS ZenBook 14 UX425EA-KI852 (90NB0SM1-M007M0) Pine Grey / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 512 ГБ 
Цена, 28 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sm1-m007m0/p332135320/
Колір,Сірий
Вага,1.17 кг
1.17 кг,67 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал
"
","
"
1,0,8,:
Имя,Acer TravelMate P2 TMP214-52-37Q3 (NX.VLHEU.00A) Shale Black 
Цена, 18 499 
Детальная информация,https://rozetka.com.ua/ua/acer-nxvlheu00a/p331620700/
Колір,Чорний
Вага,1.6 кг
1.6 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"14"" (1920x1080) Full HD"
"
","
"
1,0,9,:
Имя,"Dell Vostro 15 3515 15.6"" (N6262VN3515UA_WP) Black / AMD Ryzen 3 3250U / RAM 8 ГБ / Windows 10 Pro "
Цена, 31 102 
Детальная информация,https://rozetka.com.ua/ua/dell-n6262vn3515ua-wp/p322377649/
Колір,Чорний
Вага,1.7 кг
1.7 кг,2 x 2 Вт динаміки
Звукова система,41 Вт*год
Маніпулятори,358.5 x 235.56 x 17.5 мм
"
","
"
1,1,0,:
Имя,ASUS VivoBook 17 X712EA-BX371 (90NB0TW1-M04480) Transparent Silver / Intel Pentium Gold 7505 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 21 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0tw1-m04480/p330129796/
Колір,Сріблястий
Вага,2.3 кг
2.3 кг, SonicMasterАудіо ICEpowerВбудований динамікВбудований мікрофонний масив 
Звукова система,32 Вт*год
Маніпулятори,"2-коміркова, 32 Вт*год"
"
","
"
1,1,1,:
Имя,Acer Aspire 3 A315-56-31Q4 (NX.HS5EU.02B) Shale Black 
Цена, 17 499 
Детальная информация,https://rozetka.com.ua/ua/acer-nxhs5eu02b/p345027766/
Колір,Чорний
Вага,1.9 кг
1.9 кг,36 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
1,1,2,:
Имя,ASUS VivoBook 15 OLED K513EA-L13120 (90NB0SG1-M00MZ0) Indie Black / Intel Core i3-1125G4 / RAM 8 ГБ / SSD 512 ГБ 
Цена, 27 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sg1-m00mz0/p339696121/
Колір,Чорний
Вага,1.8 кг
1.8 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
1,1,3,:
Имя,ASUS VivoBook 15 OLED K513EQ-L1740 (90NB0SK1-M00FF0) Indie Black / Intel Core i3-1125G4 / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce MX350 
Цена, 32 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sk1-m00ff0/p346152856/
Колір,Чорний
Вага,1.8 кг
1.8 кг,Harman/Kardon
Звукова система,42 Вт*год
Маніпулятори,Метал + пластик
"
","
"
1,1,4,:
Имя,Lenovo V15-IML (82NB001GRA) Iron Grey 
Цена, 21 508 
Детальная информация,https://rozetka.com.ua/ua/lenovo-82nb001gra/p335765260/
Колір,Сірий
Вага,1.85 кг
1.85 кг,35 Вт*год
Ємність акумулятора,9 годин (MobileMark 2014)
9 годин (MobileMark 2014),362.2 x 251.5 x 19.9 мм
"
","
"
1,1,5,:
Имя,ASUS Laptop X515JA-EJ1815 (90NB0SR2-M34700) Transparent Silver / Intel Pentium Gold 6805 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 15 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sr2-m34700/p340876306/
Колір,Сріблястий
Вага,1.8 кг
1.8 кг,37 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
1,1,6,:
Имя,ASUS VivoBook 14 TP470EZ-EC049T (90NB0S11-M00660) Indie Black / Intel Core i5-1135G7 / RAM 8 ГБ / SSD 256 ГБ / Windows 10 Home + стілус + миша
Цена, 33 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0s11-m00660/p329403229/
Колір,Чорний
Вага,1.5 кг
1.5 кг,Harman/Kardon
Звукова система,42 Вт*год
Маніпулятори,Метал + пластик
"
","
"
1,1,7,:
Имя,ASUS ZenBook 14 UX425EA-KI853 (90NB0SM1-M007N0) Pine Grey / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ + фірмовий чохол
Цена, 26 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sm1-m007n0/p331956580/
Колір,Сірий
Вага,1.17 кг
1.17 кг,67 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал
"
","
"
1,1,8,:
Имя,Acer Swift 1 SF114-34-P1KE (NX.A77EU.00P) Pure Silver 
Цена, 24 999 
Детальная информация,https://rozetka.com.ua/ua/acer_nx_a77eu_00p/p282367763/
Колір,Сріблястий
Вага,1.3 кг
1.3 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"14"" (1920x1080) Full HD"
"
","
"
1,1,9,:
Имя,ASUS Laptop E410KA-BV252 (90NB0UA5-M003D0) Star Black / Intel Celeron N4500 / RAM 4 ГБ / SSD 256 ГБ 
Цена, 12 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0ua5-m003d0/p339277609/
Колір,Чорний
Вага,1.3 кг
1.3 кг,42 Вт*год
Ємність акумулятора,Клавіатура NumberPad
Тачпад,325 x 217 x 18 ~ 18.4 мм
"
","
"
1,2,0,:
Имя,Acer Nitro 5 AN517-54-55QP (NH.QF8EU.007) Shale Black 
Цена, 52 999 
Детальная информация,https://rozetka.com.ua/ua/acer-nhqf8eu007/p330206998/
Колір,Чорний
Вага,2.7 кг
2.7 кг,57 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,17.3'' (1920x1080) Full HD
"
","
"
